Object,RA,Dec
C1,00:44:24,+85:20:00
C2,00:13:00,+72:32:00
C3,12:16:42,+69:28:00
C4,21:01:48,+68:12:00
C5,03:46:48,+68:06:00
C6,17:58:36,+66:38:00
C7,07:36:54,+65:36:00
C8,01:29:30,+63:18:00
C9,22:56:48,+62:37:00
C10,01:46:00,+61:15:00
C11,23:20:42,+61:12:00
C12,20:34:48,+60:09:00
C13,01:19:06,+58:20:00
C14,02:20:00,+57:08:00
C15,19:44:48,+50:31:00
C16,22:15:18,+49:53:00
C17,00:33:12,+48:30:00
C18,00:39:00,+48:20:00
C19,21:53:30,+47:16:00
C20,20:58:48,+44:20:00
C21,12:28:12,+44:06:00
C22,23:25:54,+42:33:00
C23,02:22:36,+42:21:00
C24,03:19:48,+41:31:00
C25,07:38:06,+38:53:00
C26,12:17:30,+37:49:00
C27,20:12:00,+38:21:00
C28,01:57:48,+37:41:00
C29,13:10:54,+37:03:00
C30,22:37:06,+34:25:00
C31,05:16:12,+34:16:00
C32,12:42:06,+32:32:00
C33,20:56:24,+31:43:00
C34,20:45:42,+30:43:00
C35,13:00:06,+27:59:00
C36,12:36:00,+27:58:00
C37,20:12:00,+26:29:00
C38,12:36:18,+25:59:00
C39,07:29:12,+20:55:00
C40,11:20:06,+18:21:00
C41,04:27:00,+16:00:00
C42,21:01:30,+16:11:00
C43,00:03:18,+16:09:00
C44,23:04:54,+12:19:00
C45,13:37:30,+08:53:00
C46,06:39:12,+08:44:00
C47,20:34:12,+07:24:00
C48,09:10:18,+07:02:00
C49,06:32:18,+05:03:00
C50,06:32:24,+04:52:00
C51,01:04:48,+02:07:00
C52,12:48:36,-05:48:00
C53,10:05:12,-07:43:00
C54,08:00:12,-10:47:00
C55,21:04:12,-11:22:00
C56,00:47:00,-11:53:00
C57,19:44:54,-14:48:00
C58,07:17:48,-15:37:00
C59,10:24:48,-18:38:00
C60,12:01:54,-18:52:00
C61,12:01:54,-18:53:00
C62,00:47:06,-20:46:00
C63,22:29:36,-20:48:00
C64,07:18:48,-24:57:00
C65,00:47:36,-25:17:00
C66,14:39:36,-26:32:00
C67,02:46:18,-30:17:00
C68,19:01:54,-36:57:00
C69,17:13:42,-37:06:00
C70,00:54:54,-37:41:00
C71,07:52:18,-38:33:00
C72,00:14:54,-39:11:00
C73,05:14:06,-40:03:00
C74,10:07:42,-40:26:00
C75,16:25:36,-40:40:00
C76,16:54:00,-41:48:00
C77,13:25:30,-43:01:00
C78,18:08:00,-43:42:00
C79,10:17:36,-46:25:00
C80,13:26:48,-47:29:00
C81,17:25:30,-48:25:00
C82,16:41:18,-48:46:00
C83,13:05:24,-49:28:00
C84,13:46:24,-51:22:00
C85,08:40:12,-53:04:00
C86,17:40:42,-53:40:00
C87,03:12:18,-55:13:00
C88,15:05:42,-55:36:00
C89,16:18:54,-57:54:00
C90,09:21:24,-58:19:00
C91,11:06:24,-58:40:00
C92,10:43:48,-59:52:00
C93,19:10:54,-59:59:00
C94,12:53:36,-60:20:00
C95,16:03:42,-60:30:00
C96,07:58:18,-60:52:00
C97,11:36:06,-61:37:00
C98,12:42:18,-62:58:00
C99,12:53:00,-63:00:00
C100,11:36:36,-63:02:00
C101,19:09:48,-63:51:00
C102,10:43:12,-64:24:00
C103,05:38:42,-69:06:00
C104,01:03:12,-70:51:00
C105,12:59:36,-70:53:00
C106,00:24:06,-72:05:00
C107,16:25:48,-72:12:00
C108,12:25:48,-72:40:00
C109,10:09:30,-80:52:00
