Object,RA,Dec
M1,05:34:31.93,+22:00:52.2
M2,21:33:27.01,-00:49:23.7
M3,13:42:11.62,+28:22:38.2
M4,16:23:35.22,-26:31:32.7
M5,15:18:33.22,+02:04:51.7
M6,17:40:19.99,-32:15:11.9
M7,17:53:50.99,-34:47:35.9
M8,18:03:37.00,-24:23:12.0
M9,17:19:11.77,-18:30:58.5
M10,16:57:09.04,-04:06:01.1
M11,18:51:04.99,-06:16:11.9
M12,16:47:14.17,-01:56:54.7
M13,16:41:41.63,+36:27:40.7
M14,17:37:36.15,-03:14:45.3
M15,21:29:58.33,+12:10:01.2
M16,18:18:48.00,-13:48:24.0
M17,18:20:46.99,-16:10:18.0
M18,18:19:58.00,-17:06:06.0
M19,17:02:37.69,-26:16:04.5
M20,18:02:42.00,-22:58:18.0
M21,18:04:13.00,-22:29:24.0
M22,18:36:23.93,-23:54:17.1
M23,17:57:04.00,-18:59:06.0
M24,18:16:48.00,-18:33:00.0
M25,18:31:46.99,-19:07:00.0
M26,18:45:18.00,-09:22:59.9
M27,19:59:36.36,+22:43:16.3
M28,18:24:32.89,-24:52:11.3
M29,20:23:55.99,+38:31:23.9
M30,21:40:22.12,-23:10:47.4
M31,00:42:44.32,+41:16:07.5
M32,00:42:41.82,+40:51:54.6
M33,01:33:50.90,+30:39:35.7
M34,02:42:04.99,+42:45:42.0
M35,06:08:53.99,+24:19:59.0
M36,05:36:18.00,+34:08:24.0
M37,05:52:18.00,+32:33:11.9
M38,05:28:43.00,+35:51:18.0
M39,21:31:48.00,+48:25:59.9
M40,12:22:12.52,+58:04:58.5
M41,06:46:01.00,-20:45:24.0
M42,05:35:17.29,-05:23:27.9
M43,05:35:31.00,-05:16:11.9
M44,08:40:24.00,+19:40:00.0
M45,03:47:00.00,+24:07:00.0
M46,07:41:46.00,-14:48:36.0
M47,07:36:34.99,-14:28:59.9
M48,08:13:43.00,-05:45:00.0
M49,12:29:46.79,+08:00:01.4
M50,07:02:47.50,-08:20:16.0
M51,13:29:52.69,+47:11:42.9
M52,23:24:48.00,+61:35:35.9
M53,13:12:55.24,+18:10:05.4
M54,18:55:03.33,-30:28:47.4
M55,19:39:59.71,-30:57:53.1
M56,19:16:35.56,+30:11:00.4
M57,18:53:35.09,+33:01:44.8
M58,12:37:43.59,+11:49:05.1
M59,12:42:02.32,+11:38:48.9
M60,12:43:40.00,+11:33:09.3
M61,12:21:54.92,+04:28:25.5
M62,17:01:12.60,-30:06:44.4
M63,13:15:49.27,+42:01:45.7
M64,12:56:43.69,+21:40:57.5
M65,11:18:55.95,+13:05:31.9
M66,11:20:15.02,+12:59:28.6
M67,08:51:17.99,+11:48:00.0
M68,12:39:27.97,-26:44:38.6
M69,18:31:23.10,-32:20:53.0
M70,18:43:12.76,-32:17:31.5
M71,19:53:46.48,+18:46:45.0
M72,20:53:27.70,-12:32:14.3
M73,20:59:00.00,-12:37:59.9
M74,01:36:41.77,+15:47:00.4
M75,20:06:04.84,-21:55:20.1
M76,01:42:19.66,+51:34:31.5
M77,02:42:40.77,-00:00:47.8
M78,05:46:45.79,+00:04:45.0
M79,05:24:10.58,-24:31:27.3
M80,16:17:02.41,-22:58:33.8
M81,09:55:33.17,+69:03:55.0
M82,09:55:52.42,+69:40:46.9
M83,13:37:00.91,-29:51:56.7
M84,12:25:03.74,+12:53:13.1
M85,12:25:24.05,+18:11:27.8
M86,12:26:11.81,+12:56:45.4
M87,12:30:49.42,+12:23:28.0
M88,12:31:59.21,+14:25:13.4
M89,12:35:39.81,+12:33:22.6
M90,12:36:49.81,+13:09:46.3
M91,12:35:26.43,+14:29:46.7
M92,17:17:07.39,+43:08:09.3
M93,07:44:30.00,-23:51:24.0
M94,12:50:53.14,+41:07:12.5
M95,10:43:57.73,+11:42:12.9
M96,10:46:45.74,+11:49:11.7
M97,11:14:47.71,+55:01:08.4
M98,12:13:48.29,+14:54:01.6
M99,12:18:49.62,+14:24:59.3
M100,12:22:54.93,+15:49:20.2
M101,14:03:12.58,+54:20:55.5
M102,15:06:29.56,+55:45:47.9
M103,01:33:22.99,+60:39:00.0
M104,12:39:59.43,-11:37:22.9
M105,10:47:49.60,+12:34:53.8
M106,12:18:57.61,+47:18:13.3
M107,16:32:31.86,-13:03:13.6
M108,11:11:30.96,+55:40:26.8
M109,11:57:35.98,+53:22:28.2
M110,00:40:22.05,+41:41:07.4
