Object,RA,Dec
000_BNS_429_per,04:29:19,+43:54:23
AT_2020_yeq,00:48:44,-72:53:54
VY_Aqr,21:12:09,-08:49:36 
N_Cas_2020,00:11:43,+66:11:20
V0725_Sqr,18:11:59.44,-36:06:40.4
R_Aqr,23:43:49.4,-15:17:4.6
Mira, 2:19:20.8, -2:58:44.6
TY_Cas,00:36:59.40,+63:08:1.8
V_Cas,23:11:40.76,+59:41:58.9
1SWASP_J022916.91-395901.4,02:29:16.00,-39:59:01.00
ASAS_J102322-3737.0,10:23:21.00,-37:36:59.00
ASASSN-17fp,18:08:51.00,-73:04:04.00
b_Per,04:18:14.00,+50:17:43.00
bet_Pic,05:47:17.00,-51:03:59.00
CI_Aql,18:52:03.00,-1:28:39.00
CR_Boo,13:48:55.00,+7:57:35.00
CRTS_J105122.8+672528,10:51:22.00,+67:25:28.00
EC_01541-1409,01:56:31.00,-13:54:26.00
EC_21178-5417,21:21:26.00,-54:04:34.00
EM_Cyg,19:38:40.00,+30:30:28.00
EP_Dra,19:07:06.00,+69:08:44.00
FO_Aqr,22:17:55.00,-8:21:03.00
GD_1068,02:00:13.00,-17:28:43.00
GJ729,18:49:49.00,-23:50:10.00
GK_Per,03:31:12.00,+43:54:15.00
GW_Lib,15:19:55.00,-25:00:25.00
HE_0218-3437,02:20:59.00,-34:23:35.00
KIC_2856960,19:29:31.00,+38:04:35.00
KQ_Mon,07:31:21.00,-10:21:49.00
LQ_Peg,21:36:19.00,+11:40:54.00
MASTER_OT_J132104.04+560957.8,13:21:04.00,+56:09:57.00
N_Ori_2019,06:09:57.00,+12:12:25.00
Nova_LMC_1996,05:13:32.00,-68:38:00.00
OGLE-2018-NOVA-01,05:13:32.00,-68:38:00.00
RW_Aur,05:07:49.00,+30:24:05.00
SDSS_J141118.31+481257.6,14:11:18.00,+48:12:57.00
SDSS_J153817.35+512338.0,15:38:17.00,+51:23:38.00
SS_Cyg,21:42:42.00,+43:35:09.00
ST_LMi,11:05:39.00,+25:06:28.00
Star_Name,RA,Dec
SU_UMa,08:12:28.00,+62:36:22.00
SU_UMa,08:12:28.00,+62:36:22.00
T_Pyx,09:04:41.00,-32:22:47.00
TCP_J21040470+4631129,21:04:04.00,+46:31:14.00
TT_Ari,02:06:53.00,+15:17:41.00
U_Sco,16:22:30.00,-17:52:42.00
UU_Aqr,22:09:05.00,-3:46:17.00
UZ_For,03:35:28.00,-25:44:21.00
V2301_Oph,18:00:35.00,+8:10:13.00
V346_Ori,05:24:42.00,+1:43:48.00
V378_Peg,23:40:04.00,+30:17:47.00
V386_Ser,16:10:33.00,-1:02:23.00
V818_Sco,16:19:55.00,-15:38:25.00
V902_Mon,06:27:46.00,+1:48:11.00
VV_Pup,08:15:06.00,-19:03:17.00
VW_Hyi,04:09:11.00,-71:17:41.00
YZ_Cnc,08:10:56.00,+28:08:33.00
